산명,등산로명,등산로길이(km),등산로상행시간,등산로하행시간
116고지,주산동-추동리 버스승강장구간,0.1,1,1
133고지,천동구간,0.1,1,1
133고지,가오동구간,0.1,2,1
133고지,판암동구간,0.1,2,1
136고지금성마을,주산동구간,0.1,2,2
136고지금성마을,신상동구간,0.1,1,1
138고지,구도동구간,0.1,1,1
138고지,구도동구간,0.1,2,1
138고지,구도동구간,0.1,2,1
162고지가는골뒷산,세천동구간,0.1,2,1
162고지가는골뒷산,세천동구간,0.1,2,1
162고지가는골뒷산,세천동구간,0.1,1,1
175고지,이사동구간,0.1,1,1
175고지,이사동구간,0.1,1,1
175고지,이사동구간,0.1,2,1
175고지,이사동구간,0.1,1,1
175고지,이사동구간,0.1,2,1
175고지,이사동학고개1길-이사동주랭길구간,0.1,2,1
175고지,이사동구간,0.1,2,1
175고지,이사동학고개1길-이사동주랭길구간,0.1,1,1
175고지,이사동구간,0.1,1,1
179고지,소호동구간,0.1,2,1
179고지,소호동구간,0.1,2,1
179고지,소호동구간,0.1,2,1
179고지,소호동구간,0.1,1,1
179고지,소호동구간,0.1,1,1
179고지,소호동구간,0.1,1,1
179고지,소호동구간,0.1,1,1
179고지,소호동구간,0.1,1,1
212고지,용운동구간,0.1,1,1
212고지,용운동구간,0.1,1,1
212고지,용운동구간,0.1,2,1
212고지,용운동구간,0.1,2,1
212고지,용운동구간,0.1,2,2
212고지,용운동구간,0.1,1,1
가덕도,성북동구간,0.1,1,1
가덕도,성북동구간,0.1,2,2
가덕도,동선동구간,0.1,1,1
가라산,,0.1,2,1
가라산,,0.1,1,1
가래봉,,0.1,2,1
가련산,덕진동1가구간,0.1,2,2
가련산,덕진동2가구간,0.1,2,1
가련산,덕진동1가구간,0.1,1,1
가련산,덕진동1가구간,0.1,1,1
가련산,덕진동1가구간,0.1,2,1
가련산,덕진동2가구간,0.1,2,1
가련산,덕진동2가구간,0.1,1,1
가련산,덕진동2가구간,0.1,2,2
가련산,덕진동2가구간,0.1,1,1
가련산,덕진동1가구간,0.1,1,1
가련산,덕진동2가구간,0.1,2,1
가련산,덕진동2가구간,0.1,2,2
가련산,덕진동1가구간,0.1,1,1
가련산,덕진동1가구간,0.1,1,1
가련산,덕진동1가구간,0.1,1,1
가련산,덕진동1가구간,0.1,1,1
가련산,덕진동2가구간,0.1,1,1
가련산,덕진동2가구간,0.1,1,1
가련산,덕진동2가구간,0.1,1,1
가련산,덕진동2가구간,0.1,2,1
가련산,덕진동2가구간,0.1,1,1
가련산,덕진동1가구간,0.1,2,1
가련산,덕진동2가구간,0.1,1,1
가산,가산리구간,0.1,2,2
가산,,0.1,1,1
가산,,0.1,1,1
가섭산,용산리구간,0.1,1,1
가야산,광영동구간,0.1,1,1
가야산,마동구간,0.1,2,2
가야산,,0.1,2,2
가야산,,0.1,1,1
가야산,,0.1,2,2
가야산,,0.1,2,2
가야산,,0.1,1,1
가양공원,비래동구간,0.1,2,2
가양공원,비래동구간,0.1,1,1
가양공원,비룡동구간,0.1,1,1
가양공원,비룡동구간,0.1,1,1
가양공원,가양동구간,0.1,1,1
가양공원,가양동구간,0.1,2,2
가양공원,가양동구간,0.1,2,2
가양공원,가양동구간,0.1,1,1
가양공원,비래동구간,0.1,2,2
가양공원,추동구간,0.1,2,2
가양공원,비래동구간,0.1,1,1
가양공원,비래동구간,0.1,2,1
가양공원,비래동구간,0.1,2,2
가양공원,가양동구간,0.1,1,1
가양공원,가양동구간,0.1,1,1
가양공원,추동구간,0.1,2,1
가양공원,추동구간,0.1,2,1
가양공원,비래동구간,0.1,2,1
가양공원,비래동구간,0.1,2,1
가양공원,가양동구간,0.1,2,1
가양공원,비룡동구간,0.1,1,1
가양공원,비룡동구간,0.1,2,2
가양공원,비래동구간,0.1,2,1
가양공원,가양동구간,0.1,1,1
가양공원,가양동구간,0.1,2,2
가양공원,비래동구간,0.1,1,1
가양공원,가양동구간,0.1,1,1
가양공원,추동구간,0.1,1,1
가오공원,가오동구간,0.1,2,1
가오공원,가오동구간,0.1,2,2
가오공원,가오동구간,0.1,1,1
가오공원,가오동구간,0.1,1,1
가오공원,가오동구간,0.1,2,1
가은산,,0.1,1,1
가은산,상천리구간,0.1,1,1
가은산,,0.1,1,1
가은산,,0.1,2,1
가은산,,0.1,1,1
가은산,,0.1,1,1
가재산금병산수양산줄기,축산리구간,0.1,1,1
가재산금병산수양산줄기,관재자암입구-관재자암구간,0.1,1,1
가좌산,가좌동구간,0.1,1,1
가좌산,가좌동구간,0.1,2,1
가좌산,가좌동구간,0.1,2,1
가좌산,,0.1,2,1
가좌산,,0.1,2,1
가좌산,,0.1,2,2
가좌산,가좌동구간,0.1,2,2
가좌산,가좌동구간,0.1,2,2
가좌산,가좌동구간,0.1,2,1
가좌산,주약동구간,0.1,1,1
가좌산,,0.1,1,1
가좌산,,0.1,2,2
가좌산,가좌동구간,0.1,2,2
가좌산,,0.1,1,1
가지산,,0.1,2,1
가지산,신원리구간,0.1,2,2
가지산,,0.1,2,1
가지산,신원리구간,0.1,2,2
가지산,,0.1,1,1
가지산,,0.1,1,1
가지산,신원리구간,0.1,1,1
가지산,,0.1,2,2
가지산,,0.1,1,1
가지산,,0.1,2,2
가지산,삼양리구간,0.1,2,1
가지산,,0.1,1,1
가학산,가학리구간,0.1,2,2
가학산,학계리구간,0.1,2,1
가학산,가학리구간,0.1,1,1
가학산,,0.1,1,1
가학산,,0.1,2,2
가학산,,0.1,2,2
가학산,,0.1,2,1
가학산,,0.1,1,1
가학산,,0.1,1,1
가학산,,0.1,2,1
가학산,,0.1,2,1
가학산,,0.1,1,1
가학산,,0.1,2,1
가학산,,0.1,2,1
가학산,,0.1,1,1
가학산,소하동구간,0.1,2,2
가학산,소하동구간,0.1,1,1
가현산,,0.1,2,1
가현산,,0.1,2,1
가현산,,0.1,2,1
가현산,,0.1,1,1
가현산,,0.1,2,2
가현산,,0.1,2,1
가현산,,0.1,2,1
가현산,,0.1,2,1
가현산,구래리구간,0.1,2,1
가현산,,0.1,2,1
가현산,,0.1,1,1
가현산,,0.1,1,1
가현산,,0.1,1,1
가현산,,0.1,2,1
가현산,,0.1,1,1
가현산,,0.1,2,1
가현산,,0.1,1,1
각골산,누읍동구간,0.1,2,2
각골산,누읍동구간,0.1,2,2
각골산,서동구간,0.1,2,2
각골산,,0.1,2,2
각골산,서동구간,0.1,2,2
각골산,,0.1,1,1
각골산,가수동구간,0.1,1,1
각골산,가수동구간,0.1,1,1
각골산,가수동구간,0.1,2,2
각골산,,0.1,1,1
각골산,가수동구간,0.1,1,1
각골산,,0.1,1,1
각산,,0.1,1,1
각산,대방동구간,0.1,2,2
각산,,0.1,1,1
각성산,덕산리구간,0.1,1,1
각성산,,0.1,2,2
각성산,,0.1,2,1
각화사,석현리구간,0.1,2,1
각화사,석현리구간,0.1,1,1
각화사,석현리구간,0.1,1,1
각화사,석현리구간,0.1,2,2
각화사,석현리구간,0.1,1,1
각화산,각화사구간,0.1,1,1
각흘산석이바위,도평리구간,0.1,2,2
각희산,,0.1,2,2
간대산,신기리구간,0.1,1,1
간성수성샘터산림욕장,,0.1,2,1
갈기산,지내리구간,0.1,2,1
갈기산,,0.1,2,1
갈두산,송호리구간,0.1,2,2
갈두산,송호리구간,0.1,1,1
갈두산,송호리구간,0.1,2,1
갈두산,송호리구간,0.1,2,1
갈두산,송호리구간,0.1,2,2
갈미봉,,0.1,1,1
갈미봉,,0.1,1,1
갈미봉,내남동구간,0.1,2,1
갈방산,우곡리구간,0.1,1,1
갈방산,법전리구간,0.1,1,1
갈현근린공원,진관동구간,0.1,2,2
갈현근린공원,진관동구간,0.1,1,1
갈현근린공원,진관동구간,0.1,1,1
갈현근린공원,진관동구간,0.1,2,2
갈현근린공원,진관동구간,0.1,2,1
갈현근린공원,진관동구간,0.1,1,1
갈현근린공원,진관동구간,0.1,1,1
갈현근린공원,진관동구간,0.1,1,1
갈현근린공원,진관동구간,0.1,1,1
갈현근린공원,불광동구간,0.1,1,1
갈현근린공원,불광동구간,0.1,2,1
갈현근린공원,진관동구간,0.1,2,1
갈현근린공원,진관동구간,0.1,1,1
갈현근린공원,진관동구간,0.1,1,1
갈현근린공원,진관동구간,0.1,2,2
갈현근린공원,진관동구간,0.1,1,1
갈현근린공원,불광동구간,0.1,1,1
갈현근린공원,불광동구간,0.1,1,1
갈현근린공원,불광동구간,0.1,1,1
갈현근린공원,불광동구간,0.1,1,1
갈현근린공원,불광동구간,0.1,1,1
갈현근린공원,불광동구간,0.1,1,1
갈현근린공원,불광동구간,0.1,2,1
갈현근린공원,불광동구간,0.1,1,1
갈현근린공원,불광동구간,0.1,1,1
갈현근린공원2지구,진관동구간,0.1,2,1
갈현근린공원2지구,진관동구간,0.1,1,1
갈현근린공원2지구,불광동구간,0.1,2,1
갈현근린공원2지구,불광동구간,0.1,2,1
갈현근린공원2지구,불광동구간,0.1,2,2
갈현근린공원2지구,불광동구간,0.1,1,1
갈현근린공원2지구,불광동구간,0.1,1,1
갈현근린공원2지구,진관동구간,0.1,2,2
갈현근린공원2지구,불광동구간,0.1,1,1
갈현근린공원2지구,불광동구간,0.1,1,1
갈현근린공원2지구,불광동구간,0.1,2,1
갈현근린공원2지구,불광동구간,0.1,1,1
갈현근린공원2지구,불광동구간,0.1,1,1
갈현근린공원2지구,불광동구간,0.1,1,1
갈현근린공원2지구,불광동구간,0.1,1,1
갈현근린공원2지구,불광동구간,0.1,1,1
갈현근린공원2지구,불광동구간,0.1,1,1
갈현근린공원2지구,불광동구간,0.1,1,1
갈현근린공원2지구,불광동구간,0.1,1,1
갈현근린공원2지구,불광동구간,0.1,1,1
갈현근린공원2지구,진관동구간,0.1,2,2
갈현근린공원2지구,불광동구간,0.1,1,1
갈현근린공원2지구,진관동구간,0.1,2,1
갈현근린공원2지구,불광동구간,0.1,2,1
갈현근린공원2지구,불광동구간,0.1,1,1
갈현근린공원2지구,불광동구간,0.1,1,1
갈현근린공원2지구,불광동구간,0.1,2,1
갈현근린공원2지구,불광동구간,0.1,2,1
갈현근린공원2지구,불광동구간,0.1,1,1
갈현근린공원2지구,불광동구간,0.1,1,1
감방산,해운리구간,0.1,2,2
감방산,임도구간,0.1,1,1
감산리,,0.1,1,1
감악산,물맞이길구간,0.1,1,1
감악산,감악산-감악재구간,0.1,1,1
감악산,감악산-감악재구간,0.1,1,1
감악산,감악로길구간,0.1,2,2
감악산,참나무평원길구간,0.1,1,1
감악산,평전다리길구간,0.1,1,1
감악산,참나무평원길구간,0.1,2,1
감악산,,0.1,2,1
감악산,설마리구간,0.1,1,1
감악산,,0.1,2,1
감악산,,0.1,1,1
감악산,,0.1,2,2
감악산,,0.1,2,1
감악산,,0.1,1,1
감악산,,0.1,1,1
감악산,신암리구간,0.1,1,1
감악산,,0.1,2,1
감악산,,0.1,1,1
감악산,명암리구간,0.1,1,1
감악산,명암리구간,0.1,1,1
감악산늘목,학산리구간,0.1,2,1
감악산늘목,학산리구간,0.1,2,2
감암산,상법리구간,0.1,1,1
감암산,,0.1,2,2
감암산,,0.1,1,1
갑하산,갑동구간,0.1,2,2
갑하산,갑동구간,0.1,2,2
갑하산,,0.1,1,1
갑하산,,0.1,1,1
갑하산,,0.1,1,1
갑하산,온천리구간,0.1,2,1
강바위산,대별동구간,0.1,2,1
강천산_왕자봉,,0.1,2,1
강천산_왕자봉,,0.1,2,1
강천산_왕자봉,,0.1,2,1
